neighborhood,postal_code,declared_transaction_value,reference_property_value,reference_value_proportional,tax_base_value,transaction_date,transaction_type,built_area_sqm,property_use_description,transferred_share_percentage,source,bucket_start
,3156240.0,320000.0,814135.0,162.827,320000.0,2024-12-26 00:00:00,1.Compra e venda,220,RESIDÊNCIA,0.02,JAN-2025,200
CIDADE JARDIM,5671030.0,3850000.0,2459072.0,2459072.0,3850000.0,2025-01-06 00:00:00,1.Compra e venda,459,RESIDÊNCIA,100.0,JAN-2025,400
JD MONTE AZUL,5836170.0,275000.0,475197.0,33026.1915,275000.0,2024-12-27 00:00:00,1.Compra e venda,60,RESIDÊNCIA,6.95,JAN-2025,0
,5325100.0,1650000.0,1158983.0,1158983.0,1650000.0,2024-12-30 00:00:00,1.Compra e venda,250,RESIDÊNCIA,100.0,JAN-2025,200
JD UBIRAJARA,4458000.0,244647.39,64190526.0,256762.104,256762.1,2024-12-24 00:00:00,1.Compra e venda,240,RESIDÊNCIA,0.4,JAN-2025,200
,3145040.0,828000.0,434217.0,434217.0,828000.0,2024-12-26 00:00:00,1.Compra e venda,101,RESIDÊNCIA,100.0,JAN-2025,100
,5835003.0,301500.0,1054392.0,210.8784,301500.0,2024-12-27 00:00:00,1.Compra e venda,300,RESIDÊNCIA,0.02,JAN-2025,300
JD UBIRAJARA,4458000.0,258452.19,64190526.0,89866.7364,258452.19,2024-12-27 00:00:00,1.Compra e venda,240,RESIDÊNCIA,0.14,JAN-2025,200
,1526050.0,1780000.0,925918.0,925918.0,1780000.0,2024-12-30 00:00:00,1.Compra e venda,130,RESIDÊNCIA,100.0,JAN-2025,100
,2190120.0,258121.23,6919607.0,13839.214,258121.23,2024-12-26 00:00:00,1.Compra e venda,354,RESIDÊNCIA,0.2,JAN-2025,300
,4020050.0,1737104.64,4030719.0,403.0719,1737104.64,2024-12-27 00:00:00,1.Compra e venda,460,RESIDÊNCIA,0.01,JAN-2025,400
INTERLAGOS,4786080.0,1500000.0,1923036.0,1923036.0,1923036.0,2024-12-26 00:00:00,1.Compra e venda,225,RESIDÊNCIA,100.0,JAN-2025,200
,4020050.0,396752.07,4030719.0,403.0719,396752.07,2024-12-26 00:00:00,1.Compra e venda,460,RESIDÊNCIA,0.01,JAN-2025,400
,4020050.0,1686603.41,4030719.0,403.0719,1686603.41,2024-12-27 00:00:00,1.Compra e venda,460,RESIDÊNCIA,0.01,JAN-2025,400
ITAIM PAULISTA.,8141710.0,300000.0,420130.0,420130.0,420130.0,2024-12-30 00:00:00,1.Compra e venda,211,RESIDÊNCIA,100.0,JAN-2025,200
VL CURUCA,8031760.0,281000.0,1809226.0,180.9226,281000.0,2024-12-30 00:00:00,1.Compra e venda,326,RESIDÊNCIA,0.01,JAN-2025,300
VL CURUCA,8031760.0,279000.0,1809226.0,180.9226,279000.0,2024-12-30 00:00:00,1.Compra e venda,326,RESIDÊNCIA,0.01,JAN-2025,300
,2309130.0,300000.0,1091567.0,109.1567,300000.0,2024-12-30 00:00:00,1.Compra e venda,307,RESIDÊNCIA,0.01,JAN-2025,300
,2309130.0,299000.0,1091567.0,109.1567,299000.0,2024-12-30 00:00:00,1.Compra e venda,307,RESIDÊNCIA,0.01,JAN-2025,300
,2309130.0,260000.0,1091567.0,109.1567,260000.0,2024-12-30 00:00:00,1.Compra e venda,307,RESIDÊNCIA,0.01,JAN-2025,300
PIRITUBA,5175000.0,562500.0,430112.0,430112.0,562500.0,2024-12-27 00:00:00,1.Compra e venda,125,RESIDÊNCIA,100.0,JAN-2025,100
CD PEDRA,4138030.0,640000.0,483349.0,483349.0,640000.0,2024-12-26 00:00:00,1.Compra e venda,119,RESIDÊNCIA,100.0,JAN-2025,100
,3345001.0,402000.0,243825.0,243825.0,402000.0,2025-01-02 00:00:00,1.Compra e venda,92,RESIDÊNCIA,100.0,JAN-2025,0
LAPA DE BAIXO,5065010.0,420000.0,430764.0,430764.0,430764.0,2024-12-30 00:00:00,1.Compra e venda,90,RESIDÊNCIA,100.0,JAN-2025,0
,4446180.0,950000.0,682325.0,6823.25,950000.0,2024-12-30 00:00:00,1.Compra e venda,80,RESIDÊNCIA,1.0,JAN-2025,0
CIDADE LIDER,8280260.0,690000.0,238034.0,238034.0,690000.0,2024-12-27 00:00:00,1.Compra e venda,111,RESIDÊNCIA,100.0,JAN-2025,100
JD PARAGUASSU,3940010.0,250000.0,250482.0,250482.0,250482.0,2024-12-17 00:00:00,1.Compra e venda,78,RESIDÊNCIA,100.0,JAN-2025,0
,4160130.0,410000.0,210797.0,210797.0,410000.0,2024-12-23 00:00:00,1.Compra e venda,94,RESIDÊNCIA,100.0,JAN-2025,0
,3028030.0,650000.0,303687.0,303687.0,650000.0,2024-12-26 00:00:00,1.Compra e venda,115,RESIDÊNCIA,100.0,JAN-2025,100
,4707020.0,346202.5,1537999.0,6459.5958,346202.5,2025-01-03 00:00:00,1.Compra e venda,330,RESIDÊNCIA,0.42,JAN-2025,300
,5512000.0,244400.0,1187584.0,2018.8928,244400.0,2025-01-03 00:00:00,1.Compra e venda,105,RESIDÊNCIA,0.17,JAN-2025,100
,5319000.0,4000000.0,7001486.0,7001486.0,7001486.0,2024-12-18 00:00:00,1.Compra e venda,344,RESIDÊNCIA,100.0,JAN-2025,300
SAO MIGUEL PAULISTA,8021020.0,285000.0,208066.0,208066.0,285000.0,2025-01-02 00:00:00,1.Compra e venda,69,RESIDÊNCIA,100.0,JAN-2025,0
INDIANOPOLIS,4079002.0,1200000.0,580855.0,580855.0,1200000.0,2024-12-23 00:00:00,1.Compra e venda,135,RESIDÊNCIA,100.0,JAN-2025,100
,2566060.0,510000.0,214351.0,214351.0,510000.0,2024-12-23 00:00:00,1.Compra e venda,90,RESIDÊNCIA,100.0,JAN-2025,0
,5447000.0,1800000.0,924836.0,924836.0,1800000.0,2025-01-09 00:00:00,1.Compra e venda,60,RESIDÊNCIA,100.0,JAN-2025,0
JD NOVA AMERICA,8280700.0,370000.0,379800.0,379800.0,379800.0,2025-01-02 00:00:00,1.Compra e venda,121,RESIDÊNCIA,100.0,JAN-2025,100
TATUAPE,3067000.0,800000.0,1405271.0,1405271.0,1405271.0,2025-01-03 00:00:00,1.Compra e venda,166,RESIDÊNCIA,100.0,JAN-2025,100
CONJ HAB J BONIFACIO,8255690.0,260000.0,67035.0,67035.0,260000.0,2024-12-30 00:00:00,1.Compra e venda,23,RESIDÊNCIA,100.0,JAN-2025,0
,5606100.0,2121000.0,0.0,0.0,2121000.0,2025-01-09 00:00:00,1.Compra e venda,466,RESIDÊNCIA,100.0,JAN-2025,400
,5590030.0,245611.65,1819063.0,181.9063,245611.65,2024-12-26 00:00:00,1.Compra e venda,488,RESIDÊNCIA,0.01,JAN-2025,400
,1541030.0,238100.0,1394760.0,139.476,238100.0,2024-12-27 00:00:00,1.Compra e venda,340,RESIDÊNCIA,0.01,JAN-2025,300
,5461010.0,8700000.0,3944039.0,3944039.0,8700000.0,2024-12-23 00:00:00,1.Compra e venda,683,RESIDÊNCIA,100.0,JAN-2025,600
VILA ARICANDUVA,3507010.0,350000.0,324513.0,324513.0,350000.0,2024-12-26 00:00:00,1.Compra e venda,90,RESIDÊNCIA,100.0,JAN-2025,0
,8210780.0,295000.0,181654.0,181654.0,295000.0,2024-12-30 00:00:00,1.Compra e venda,53,RESIDÊNCIA,100.0,JAN-2025,0
