neighborhood,postal_code,declared_transaction_value,reference_property_value,reference_value_proportional,tax_base_value,transaction_date,transaction_type,built_area_sqm,property_use_description,transferred_share_percentage,source,bucket_start
,2068050.0,700000.0,607760.0,607760.0,700000.0,2025-04-10 00:00:00,1.Compra e venda,128,RESIDÊNCIA,100.0,ABR-2025,100
JD THEALIA,3275000.0,2275.91,0.0,0.0,0.0,2025-03-26 00:00:00,1.Compra e venda,109,RESIDÊNCIA,100.0,ABR-2025,100
,5122000.0,600000.0,516298.0,516298.0,600000.0,2025-04-10 00:00:00,1.Compra e venda,169,RESIDÊNCIA,100.0,ABR-2025,100
,2254010.0,350000.0,322545.0,322545.0,350000.0,2025-04-11 00:00:00,1.Compra e venda,120,RESIDÊNCIA,100.0,ABR-2025,100
,3978130.0,115000.0,191314.0,95657.0,115000.0,2025-04-10 00:00:00,1.Compra e venda,65,RESIDÊNCIA,50.0,ABR-2025,0
PRQ GRAJAU,4843640.0,400000.0,233850.0,233850.0,400000.0,2025-04-01 00:00:00,1.Compra e venda,50,RESIDÊNCIA,100.0,ABR-2025,0
,3978130.0,115000.0,171843.0,85921.5,115000.0,2025-04-10 00:00:00,1.Compra e venda,35,RESIDÊNCIA,50.0,ABR-2025,0
JD FILHOS DA TERRA,2325040.0,145000.0,144456.0,144456.0,145000.0,2025-04-10 00:00:00,1.Compra e venda,80,RESIDÊNCIA,100.0,ABR-2025,0
,3660010.0,300000.0,335739.0,335739.0,335739.0,2025-04-11 00:00:00,1.Compra e venda,114,RESIDÊNCIA,100.0,ABR-2025,100
VL CARMOZINA,8210210.0,471600.0,518381.0,518381.0,518381.0,2025-04-17 00:00:00,1.Compra e venda,190,RESIDÊNCIA,100.0,ABR-2025,100
CHACARA SANTANA,5831150.0,200000.0,212414.0,212414.0,212414.0,2025-04-11 00:00:00,1.Compra e venda,150,RESIDÊNCIA,100.0,ABR-2025,100
,5835003.0,350000.0,1102485.0,220.497,350000.0,2025-04-07 00:00:00,1.Compra e venda,300,RESIDÊNCIA,0.02,ABR-2025,300
,8275280.0,350000.0,287020.0,287020.0,350000.0,2025-04-17 00:00:00,1.Compra e venda,100,RESIDÊNCIA,100.0,ABR-2025,100
DR. ERASMO TEIXEIRA DE,5658020.0,1827000.0,3198859.0,3198859.0,3198859.0,2025-04-02 00:00:00,1.Compra e venda,738,RESIDÊNCIA,100.0,ABR-2025,700
,4044001.0,775310.0,4300399.0,23222.1546,775310.0,2025-04-11 00:00:00,1.Compra e venda,202,RESIDÊNCIA,0.54,ABR-2025,200
,4355090.0,727016.29,784276.0,784276.0,784276.0,2025-03-19 00:00:00,1.Compra e venda,239,RESIDÊNCIA,100.0,ABR-2025,200
,5835003.0,320000.0,3781798.0,20043.5294,320000.0,2025-03-07 00:00:00,1.Compra e venda,312,RESIDÊNCIA,0.53,ABR-2025,300
,5835003.0,318000.0,3781798.0,20043.5294,318000.0,2025-03-07 00:00:00,1.Compra e venda,312,RESIDÊNCIA,0.53,ABR-2025,300
,5835003.0,322000.0,3781798.0,20043.5294,322000.0,2025-03-07 00:00:00,1.Compra e venda,312,RESIDÊNCIA,0.53,ABR-2025,300
CAPELINHA,5844130.0,690000.0,285419.0,285419.0,690000.0,2025-04-17 00:00:00,1.Compra e venda,79,RESIDÊNCIA,100.0,ABR-2025,0
,5835003.0,298000.0,3781798.0,20043.5294,298000.0,2025-03-07 00:00:00,1.Compra e venda,312,RESIDÊNCIA,0.53,ABR-2025,300
TATUAPE,3323020.0,1500000.0,873654.0,873654.0,1500000.0,2025-04-11 00:00:00,1.Compra e venda,154,RESIDÊNCIA,100.0,ABR-2025,100
,5835003.0,350000.0,3781798.0,19665.3496,350000.0,2025-03-07 00:00:00,1.Compra e venda,312,RESIDÊNCIA,0.52,ABR-2025,300
MOOCA,3187030.0,230000.0,450232.0,450232.0,450232.0,2025-04-11 00:00:00,1.Compra e venda,190,RESIDÊNCIA,100.0,ABR-2025,100
BELENZINHO,3058000.0,1520000.0,1689664.0,1689664.0,1689664.0,2025-04-10 00:00:00,1.Compra e venda,305,RESIDÊNCIA,100.0,ABR-2025,300
JD STO ELIAS,5136280.0,340000.0,279029.0,279029.0,340000.0,2025-03-31 00:00:00,1.Compra e venda,60,RESIDÊNCIA,100.0,ABR-2025,0
CONDOMINIO VILLAGIO,2998050.0,330000.0,238597.0,238597.0,330000.0,2025-04-11 00:00:00,1.Compra e venda,116,RESIDÊNCIA,100.0,ABR-2025,100
,3262000.0,640000.0,528404.0,528404.0,640000.0,2025-04-11 00:00:00,1.Compra e venda,111,RESIDÊNCIA,100.0,ABR-2025,100
VILA  MADALENA,5416002.0,1500000.0,4836200.0,18861.18,1500000.0,2025-04-08 00:00:00,1.Compra e venda,451,RESIDÊNCIA,0.39,ABR-2025,400
,5780300.0,190000.0,199218.0,49804.5,190000.0,2025-04-11 00:00:00,1.Compra e venda,110,RESIDÊNCIA,25.0,ABR-2025,100
JD GIANETTI,8430250.0,290000.0,126445.0,126445.0,290000.0,2025-04-11 00:00:00,1.Compra e venda,74,RESIDÊNCIA,100.0,ABR-2025,0
JD MONT'KEMEL,5633030.0,566500.0,455342.0,455342.0,566500.0,2025-03-31 00:00:00,1.Compra e venda,110,RESIDÊNCIA,100.0,ABR-2025,100
ITAQUERA,8275300.0,160000.0,250675.0,250675.0,250675.0,2025-04-17 00:00:00,1.Compra e venda,90,RESIDÊNCIA,100.0,ABR-2025,0
,4114120.0,250618.0,3778108.0,377.8108,250618.0,2025-04-10 00:00:00,1.Compra e venda,570,RESIDÊNCIA,0.01,ABR-2025,500
,3805040.0,1.27,210584.0,210584.0,210584.0,2025-04-11 00:00:00,1.Compra e venda,80,RESIDÊNCIA,100.0,ABR-2025,0
,3257080.0,2900.51,0.0,0.0,0.0,2025-03-27 00:00:00,1.Compra e venda,70,RESIDÊNCIA,100.0,ABR-2025,0
,3057050.0,425000.0,324939.0,324939.0,425000.0,2025-04-14 00:00:00,1.Compra e venda,100,RESIDÊNCIA,100.0,ABR-2025,100
,8280107.0,300000.0,236986.0,236986.0,300000.0,2025-04-04 00:00:00,1.Compra e venda,96,RESIDÊNCIA,100.0,ABR-2025,0
JD ANCHIETA,4402050.0,410000.0,194572.0,194572.0,410000.0,2025-04-14 00:00:00,1.Compra e venda,57,RESIDÊNCIA,100.0,ABR-2025,0
,4523010.0,231105.0,4397927.0,8356.0613,231105.0,2025-04-10 00:00:00,1.Compra e venda,311,RESIDÊNCIA,0.19,ABR-2025,300
,3389000.0,405000.0,329342.0,329342.0,405000.0,2025-04-10 00:00:00,1.Compra e venda,85,RESIDÊNCIA,100.0,ABR-2025,0
,2303080.0,60000.0,1088644.0,12628.2704,60000.0,2025-04-11 00:00:00,1.Compra e venda,166,RESIDÊNCIA,1.16,ABR-2025,100
JD PENHA,3759040.0,357000.0,211581.0,211581.0,357000.0,2025-04-07 00:00:00,1.Compra e venda,51,RESIDÊNCIA,100.0,ABR-2025,0
,3978050.0,30000.0,200239.0,200239.0,200239.0,2025-04-11 00:00:00,1.Compra e venda,127,RESIDÊNCIA,100.0,ABR-2025,100
IGUATEMI,8380003.0,217323.75,248370.0,217323.75,217323.75,2025-04-11 00:00:00,1.Compra e venda,125,RESIDÊNCIA,87.5,ABR-2025,100
,4546002.0,547056.72,1840735.0,184.0735,547056.72,2025-04-10 00:00:00,1.Compra e venda,250,RESIDÊNCIA,0.01,ABR-2025,200
,4015050.0,2800000.0,4445496.0,4445496.0,4445496.0,2025-04-11 00:00:00,1.Compra e venda,300,RESIDÊNCIA,100.0,ABR-2025,300
,5133090.0,300000.0,623698.0,623698.0,623698.0,2025-04-11 00:00:00,1.Compra e venda,95,RESIDÊNCIA,100.0,ABR-2025,0
VILA GOMES,5590110.0,350100.0,351462.0,351462.0,351462.0,2025-04-10 00:00:00,1.Compra e venda,97,RESIDÊNCIA,100.0,ABR-2025,0
PRQ TIETE,2870040.0,2900.51,0.0,0.0,0.0,2025-03-19 00:00:00,1.Compra e venda,75,RESIDÊNCIA,100.0,ABR-2025,0
PRQ SAO RAFAEL,8311170.0,300000.0,130353.0,130353.0,300000.0,2025-04-07 00:00:00,1.Compra e venda,47,RESIDÊNCIA,100.0,ABR-2025,0
PIRITUBA,5138000.0,1050000.0,753847.0,753847.0,1050000.0,2025-04-10 00:00:00,1.Compra e venda,215,RESIDÊNCIA,100.0,ABR-2025,200
N SENHORA DO O,2739000.0,345000.0,348877.0,348877.0,348877.0,2025-04-10 00:00:00,1.Compra e venda,116,RESIDÊNCIA,100.0,ABR-2025,100
CID FIM DE SEMANA,5847490.0,450000.0,181090.0,181090.0,450000.0,2025-03-27 00:00:00,1.Compra e venda,91,RESIDÊNCIA,100.0,ABR-2025,0
,2680027.0,515000.0,377433.0,377433.0,515000.0,2025-04-10 00:00:00,1.Compra e venda,147,RESIDÊNCIA,100.0,ABR-2025,100
JARDIM EUROPA,1450030.0,12800000.0,7767524.0,7767524.0,12800000.0,2025-04-11 00:00:00,1.Compra e venda,491,RESIDÊNCIA,100.0,ABR-2025,400
,5450020.0,3150000.0,2453489.0,2453489.0,3150000.0,2025-04-17 00:00:00,1.Compra e venda,310,RESIDÊNCIA,100.0,ABR-2025,300
RES MORADA BOM VIVER,4191000.0,450000.0,189069.0,189069.0,450000.0,2025-04-17 00:00:00,1.Compra e venda,82,RESIDÊNCIA,100.0,ABR-2025,0
CAMPO BELO,4361060.0,400000.0,349728.0,174864.0,400000.0,2025-03-31 00:00:00,1.Compra e venda,124,RESIDÊNCIA,50.0,ABR-2025,100
JD ATALIBA LEONEL,2324050.0,60000.0,97285.0,12160.625,60000.0,2025-04-11 00:00:00,1.Compra e venda,58,RESIDÊNCIA,12.5,ABR-2025,0
BUTANTA,5539000.0,405000.0,552521.0,368310.4986,405000.0,2025-04-10 00:00:00,1.Compra e venda,91,RESIDÊNCIA,66.66,ABR-2025,0
STO AMARO,4649000.0,215172.94,1813495.0,17772.251,215172.94,2025-04-17 00:00:00,1.Compra e venda,286,RESIDÊNCIA,0.98,ABR-2025,200
JD AMADEU E CARMEM,3280020.0,350000.0,306143.0,306143.0,350000.0,2025-03-25 00:00:00,1.Compra e venda,64,RESIDÊNCIA,100.0,ABR-2025,0
VCI 17 MAGNOLIAS,5634001.0,2000000.0,531932.0,531932.0,2000000.0,2025-04-10 00:00:00,1.Compra e venda,137,RESIDÊNCIA,100.0,ABR-2025,100
,5184300.0,150000.0,303836.0,303836.0,303836.0,2025-04-16 00:00:00,1.Compra e venda,133,RESIDÊNCIA,100.0,ABR-2025,100
,3560080.0,215000.0,438123.0,219061.5,219061.5,2025-04-17 00:00:00,1.Compra e venda,120,RESIDÊNCIA,50.0,ABR-2025,100
,3348022.0,170000.0,273155.0,273155.0,273155.0,2025-04-11 00:00:00,1.Compra e venda,84,RESIDÊNCIA,100.0,ABR-2025,0
VL DIVA,3373050.0,603209.0,363201.0,363201.0,603209.0,2025-04-17 00:00:00,1.Compra e venda,80,RESIDÊNCIA,100.0,ABR-2025,0
,4044001.0,515000.0,4300399.0,22792.1147,515000.0,2025-04-09 00:00:00,1.Compra e venda,202,RESIDÊNCIA,0.53,ABR-2025,200
,3985020.0,200000.0,237459.0,237459.0,237459.0,2025-04-17 00:00:00,1.Compra e venda,103,RESIDÊNCIA,100.0,ABR-2025,100
,4815200.0,430000.0,225502.0,225502.0,430000.0,2025-04-10 00:00:00,1.Compra e venda,84,RESIDÊNCIA,100.0,ABR-2025,0
,8411145.0,375000.0,199462.0,199462.0,375000.0,2025-04-03 00:00:00,1.Compra e venda,137,RESIDÊNCIA,100.0,ABR-2025,100
,3441020.0,300000.0,704155.0,70.4155,300000.0,2025-04-11 00:00:00,1.Compra e venda,60,RESIDÊNCIA,0.01,ABR-2025,0
JD IPANEMA,3583040.0,510945.0,510945.0,510945.0,510945.0,2025-04-11 00:00:00,1.Compra e venda,225,RESIDÊNCIA,100.0,ABR-2025,200
PRQ SAO LUCAS,3239080.0,640000.0,927479.0,463739.5,640000.0,2025-04-11 00:00:00,1.Compra e venda,244,RESIDÊNCIA,50.0,ABR-2025,200
TUCURUVI,2238130.0,112478.83,224932.0,112466.0,112478.83,2025-04-10 00:00:00,1.Compra e venda,84,RESIDÊNCIA,50.0,ABR-2025,0
PQ RODRIGUES ALVES,2249040.0,520000.0,359087.0,359087.0,520000.0,2025-04-11 00:00:00,1.Compra e venda,97,RESIDÊNCIA,100.0,ABR-2025,0
,5085010.0,1620000.0,2343023.0,2343023.0,2343023.0,2025-04-11 00:00:00,1.Compra e venda,286,RESIDÊNCIA,100.0,ABR-2025,200
,3651080.0,350000.0,185114.0,185114.0,350000.0,2025-04-14 00:00:00,1.Compra e venda,51,RESIDÊNCIA,100.0,ABR-2025,0
PARADA XV,8246081.0,186257.35,135115.0,135115.0,186257.35,2025-04-17 00:00:00,1.Compra e venda,49,RESIDÊNCIA,100.0,ABR-2025,0
JACANA,2316290.0,200000.0,754280.0,754280.0,754280.0,2025-04-11 00:00:00,1.Compra e venda,191,RESIDÊNCIA,100.0,ABR-2025,100
JD BARRO BRANCO II,8475150.0,73747.0,73747.0,73747.0,73747.0,2025-04-10 00:00:00,1.Compra e venda,25,RESIDÊNCIA,100.0,ABR-2025,0
VL FORMOSA,3462070.0,490000.0,367136.0,367136.0,490000.0,2025-04-09 00:00:00,1.Compra e venda,120,RESIDÊNCIA,100.0,ABR-2025,100
RITUBA,2985050.0,2900.51,0.0,0.0,0.0,2025-03-13 00:00:00,1.Compra e venda,273,RESIDÊNCIA,100.0,ABR-2025,200
VILA POMPEIA,5023000.0,369027.5,3072078.0,9523.4418,369027.5,2025-04-02 00:00:00,1.Compra e venda,320,RESIDÊNCIA,0.31,ABR-2025,300
,2976010.0,195000.0,398685.0,398685.0,398685.0,2025-04-10 00:00:00,1.Compra e venda,164,RESIDÊNCIA,100.0,ABR-2025,100
STO AMARO,4674060.0,1400000.0,1374388.0,1374388.0,1400000.0,2025-03-31 00:00:00,1.Compra e venda,152,RESIDÊNCIA,100.0,ABR-2025,100
LUCRECIA,5185000.0,272000.0,1303648.0,130.3648,272000.0,2025-04-09 00:00:00,1.Compra e venda,223,RESIDÊNCIA,0.01,ABR-2025,200
VL NOVA MANCHESTER,3445030.0,265000.0,1400253.0,140.0253,265000.0,2025-04-11 00:00:00,1.Compra e venda,300,RESIDÊNCIA,0.01,ABR-2025,300
CID CENTENARIO,3937050.0,395000.0,137259.0,137259.0,395000.0,2025-03-31 00:00:00,1.Compra e venda,68,RESIDÊNCIA,100.0,ABR-2025,0
,8030190.0,256500.0,285581.0,285581.0,285581.0,2025-04-11 00:00:00,1.Compra e venda,105,RESIDÊNCIA,100.0,ABR-2025,100
,1258001.0,1360000.0,1262463.0,1262463.0,1360000.0,2025-04-07 00:00:00,1.Compra e venda,105,RESIDÊNCIA,100.0,ABR-2025,100
,3512020.0,295000.0,712197.0,142.4394,295000.0,2025-04-11 00:00:00,1.Compra e venda,159,RESIDÊNCIA,0.02,ABR-2025,100
LUCRECIA,5185000.0,300000.0,1303648.0,130.3648,300000.0,2025-04-09 00:00:00,1.Compra e venda,223,RESIDÊNCIA,0.01,ABR-2025,200
VILA ZELINA,3142050.0,900000.0,0.0,0.0,900000.0,2025-04-11 00:00:00,1.Compra e venda,249,RESIDÊNCIA,100.0,ABR-2025,200
JD MARINGA,3521000.0,640000.0,437499.0,437499.0,640000.0,2025-04-04 00:00:00,1.Compra e venda,108,RESIDÊNCIA,100.0,ABR-2025,100
PENHA DE FRANCA,3638080.0,879000.0,557947.0,557947.0,879000.0,2025-04-11 00:00:00,1.Compra e venda,153,RESIDÊNCIA,100.0,ABR-2025,100
,2522090.0,351600.0,122336.0,122336.0,351600.0,2025-04-14 00:00:00,1.Compra e venda,80,RESIDÊNCIA,100.0,ABR-2025,0
,3694020.0,264000.0,463502.0,648.9028,264000.0,2025-04-08 00:00:00,1.Compra e venda,193,RESIDÊNCIA,0.14,ABR-2025,100
,3694020.0,331814.0,463502.0,648.9028,331814.0,2025-04-08 00:00:00,1.Compra e venda,193,RESIDÊNCIA,0.14,ABR-2025,100
TREMEMBE,2374000.0,930000.0,783987.0,783987.0,930000.0,2025-04-10 00:00:00,1.Compra e venda,243,RESIDÊNCIA,100.0,ABR-2025,200
PARADA INGLESA,2246000.0,299000.0,479876.0,36182.6504,299000.0,2025-04-07 00:00:00,1.Compra e venda,70,RESIDÊNCIA,7.54,ABR-2025,0
,5015040.0,2000000.0,687637.0,687637.0,2000000.0,2025-04-07 00:00:00,1.Compra e venda,100,RESIDÊNCIA,100.0,ABR-2025,100
JARDIM DA SAUDE,4130090.0,580000.0,571887.0,571887.0,580000.0,2025-04-08 00:00:00,1.Compra e venda,117,RESIDÊNCIA,100.0,ABR-2025,100
,4191000.0,480000.0,195512.0,195512.0,480000.0,2025-04-10 00:00:00,1.Compra e venda,82,RESIDÊNCIA,100.0,ABR-2025,0
PRQ GRAJAU,4842050.0,185081.25,285028.0,285028.0,285028.0,2025-04-11 00:00:00,1.Compra e venda,30,RESIDÊNCIA,100.0,ABR-2025,0
VL GUILHERMINA,3545020.0,262000.0,493918.0,1580.5376,262000.0,2025-04-08 00:00:00,1.Compra e venda,33,RESIDÊNCIA,0.32,ABR-2025,0
VL GUILHERMINA,3545020.0,260000.0,493918.0,1580.5376,260000.0,2025-04-08 00:00:00,1.Compra e venda,33,RESIDÊNCIA,0.32,ABR-2025,0
CAMPO LIMPO,5758060.0,75000.0,208717.0,208717.0,208717.0,2025-03-15 00:00:00,1.Compra e venda,50,RESIDÊNCIA,100.0,ABR-2025,0
,8290500.0,260000.0,309162.0,309162.0,309162.0,2025-04-15 00:00:00,1.Compra e venda,70,RESIDÊNCIA,100.0,ABR-2025,0
STO AMARO,4650031.0,760000.0,496543.0,496543.0,760000.0,2025-04-14 00:00:00,1.Compra e venda,169,RESIDÊNCIA,100.0,ABR-2025,100
JD GUARAPIRANGA,4783160.0,590000.0,217584.0,217584.0,590000.0,2025-04-11 00:00:00,1.Compra e venda,50,RESIDÊNCIA,100.0,ABR-2025,0
R J PEDROSO BARROS 258,8141000.0,2900.51,0.0,0.0,0.0,2025-03-18 00:00:00,1.Compra e venda,93,RESIDÊNCIA,100.0,ABR-2025,0
,2423050.0,410000.0,257517.0,257517.0,410000.0,2025-04-11 00:00:00,1.Compra e venda,85,RESIDÊNCIA,100.0,ABR-2025,0
JD BARNSLEY,4438250.0,420000.0,332631.0,332631.0,420000.0,2025-04-04 00:00:00,1.Compra e venda,103,RESIDÊNCIA,100.0,ABR-2025,100
,1450020.0,4000000.0,2200592.0,2200592.0,4000000.0,2025-04-14 00:00:00,1.Compra e venda,120,RESIDÊNCIA,100.0,ABR-2025,100
,4707020.0,1330000.0,839668.0,4954.0412,1330000.0,2025-04-10 00:00:00,1.Compra e venda,241,RESIDÊNCIA,0.59,ABR-2025,200
,2255020.0,350000.0,903249.0,270.9747,350000.0,2025-04-11 00:00:00,1.Compra e venda,110,RESIDÊNCIA,0.03,ABR-2025,100
,4546002.0,307836.33,1840735.0,184.0735,307836.33,2025-04-11 00:00:00,1.Compra e venda,250,RESIDÊNCIA,0.01,ABR-2025,200
,4020060.0,544298.0,1042434.0,1042434.0,1042434.0,2025-04-11 00:00:00,1.Compra e venda,150,RESIDÊNCIA,100.0,ABR-2025,100
RES PALMAS DO TREMEMBE,2346000.0,900000.0,591128.0,591128.0,900000.0,2025-04-09 00:00:00,1.Compra e venda,229,RESIDÊNCIA,100.0,ABR-2025,200
,3662000.0,219600.0,256580.0,256580.0,256580.0,2025-04-11 00:00:00,1.Compra e venda,74,RESIDÊNCIA,100.0,ABR-2025,0
STA ETELVINA I VIA,8470330.0,150000.0,68130.0,68130.0,150000.0,2025-04-17 00:00:00,1.Compra e venda,20,RESIDÊNCIA,100.0,ABR-2025,0
,4469070.0,300000.0,384397.0,384397.0,384397.0,2025-04-15 00:00:00,1.Compra e venda,86,RESIDÊNCIA,100.0,ABR-2025,0
,4061000.0,940000.0,1195102.0,1195102.0,1195102.0,2025-04-11 00:00:00,1.Compra e venda,186,RESIDÊNCIA,100.0,ABR-2025,100
PRQ FIGUEIRA GRANDE,4914030.0,430000.0,158981.0,158981.0,430000.0,2025-04-11 00:00:00,1.Compra e venda,118,RESIDÊNCIA,100.0,ABR-2025,100
,8245600.0,1.0,216334.0,216334.0,216334.0,2025-04-15 00:00:00,1.Compra e venda,150,RESIDÊNCIA,100.0,ABR-2025,100
PARI,3030050.0,1450000.08,253268.0,253268.0,1450000.08,2025-04-14 00:00:00,1.Compra e venda,30,RESIDÊNCIA,100.0,ABR-2025,0
VILA POMPEIA,5023000.0,261781.89,3072078.0,7680.195,261781.89,2025-04-10 00:00:00,1.Compra e venda,320,RESIDÊNCIA,0.25,ABR-2025,300
,4129000.0,495000.0,516307.0,516307.0,516307.0,2025-04-17 00:00:00,1.Compra e venda,153,RESIDÊNCIA,100.0,ABR-2025,100
JD TEREZINHA,2982130.0,119000.0,151705.0,121364.0,121364.0,2025-04-11 00:00:00,1.Compra e venda,59,RESIDÊNCIA,80.0,ABR-2025,0
,4546002.0,325511.16,1840735.0,552.2205,325511.16,2025-04-10 00:00:00,1.Compra e venda,250,RESIDÊNCIA,0.03,ABR-2025,200
,3390040.0,410000.0,231423.0,231423.0,410000.0,2025-03-31 00:00:00,1.Compra e venda,80,RESIDÊNCIA,100.0,ABR-2025,0
TUCURUVI,2306001.0,410000.0,216427.0,216427.0,410000.0,2025-04-08 00:00:00,1.Compra e venda,95,RESIDÊNCIA,100.0,ABR-2025,0
RES CLARA PARENTE,2802040.0,2900.51,0.0,0.0,0.0,2025-03-20 00:00:00,1.Compra e venda,108,RESIDÊNCIA,100.0,ABR-2025,100
,2303080.0,31000.0,1088644.0,8382.5588,31000.0,2025-04-11 00:00:00,1.Compra e venda,166,RESIDÊNCIA,0.77,ABR-2025,100
,5365110.0,2600.0,0.0,0.0,0.0,2025-02-18 00:00:00,1.Compra e venda,169,RESIDÊNCIA,100.0,ABR-2025,100
,3525060.0,302000.0,304956.0,30.4956,302000.0,2025-04-07 00:00:00,1.Compra e venda,60,RESIDÊNCIA,0.01,ABR-2025,0
,4776130.0,236000.0,235983.0,235983.0,236000.0,2025-04-15 00:00:00,1.Compra e venda,74,RESIDÊNCIA,100.0,ABR-2025,0
,5037120.0,640000.0,495878.0,495878.0,640000.0,2025-04-07 00:00:00,1.Compra e venda,153,RESIDÊNCIA,100.0,ABR-2025,100
,4385010.0,600000.0,192578.0,192578.0,600000.0,2025-04-04 00:00:00,1.Compra e venda,94,RESIDÊNCIA,100.0,ABR-2025,0
VILA MARIANA,4110120.0,590000.0,1217323.0,608661.5,608661.5,2025-04-14 00:00:00,1.Compra e venda,142,RESIDÊNCIA,50.0,ABR-2025,100
JD YARA,4173060.0,400000.0,413451.0,413451.0,413451.0,2025-04-15 00:00:00,1.Compra e venda,140,RESIDÊNCIA,100.0,ABR-2025,100
JD. PAULISTA,4507050.0,7500000.0,3986098.0,3986098.0,7500000.0,2025-03-26 00:00:00,1.Compra e venda,363,RESIDÊNCIA,100.0,ABR-2025,300
VILA POMPEIA,5023000.0,518592.36,3072078.0,12595.5198,518592.36,2025-04-08 00:00:00,1.Compra e venda,320,RESIDÊNCIA,0.41,ABR-2025,300
,8275270.0,560000.0,403096.0,137455.736,560000.0,2025-04-11 00:00:00,1.Compra e venda,159,RESIDÊNCIA,34.1,ABR-2025,100
,2303130.0,166250.0,1118990.0,7609.132,166250.0,2025-04-11 00:00:00,1.Compra e venda,255,RESIDÊNCIA,0.68,ABR-2025,200
,8380012.0,300000.0,247798.0,247798.0,300000.0,2025-04-18 00:00:00,1.Compra e venda,120,RESIDÊNCIA,100.0,ABR-2025,100
JARAGUA,2998060.0,100000.0,106541.0,106541.0,106541.0,2025-04-12 00:00:00,1.Compra e venda,54,RESIDÊNCIA,100.0,ABR-2025,0
,3430020.0,238000.0,1093454.0,27992.4224,238000.0,2025-04-14 00:00:00,1.Compra e venda,195,RESIDÊNCIA,2.56,ABR-2025,100
ITAQUERA,8285300.0,450000.0,358147.0,358147.0,450000.0,2025-04-09 00:00:00,1.Compra e venda,140,RESIDÊNCIA,100.0,ABR-2025,100
ITANO,3287090.0,530000.0,590794.0,590794.0,590794.0,2025-04-08 00:00:00,1.Compra e venda,190,RESIDÊNCIA,100.0,ABR-2025,100
,5410030.0,2569124.82,1448257.0,1448257.0,2569124.82,2025-04-15 00:00:00,1.Compra e venda,177,RESIDÊNCIA,100.0,ABR-2025,100
VL PAULO SILA,3263090.0,2900.51,0.0,0.0,0.0,2025-03-28 00:00:00,1.Compra e venda,80,RESIDÊNCIA,100.0,ABR-2025,0
,4282010.0,415000.0,230385.0,230385.0,415000.0,2025-04-07 00:00:00,1.Compra e venda,165,RESIDÊNCIA,100.0,ABR-2025,100
JD REAL,5567050.0,57921.6,148403.0,148403.0,148403.0,2025-04-14 00:00:00,1.Compra e venda,79,RESIDÊNCIA,100.0,ABR-2025,0
SAO MIGUEL PAULISTA,8030050.0,400000.0,426196.0,426196.0,426196.0,2025-04-12 00:00:00,1.Compra e venda,120,RESIDÊNCIA,100.0,ABR-2025,100
JARDIM NORDESTE,3688120.0,300000.0,365580.0,365580.0,365580.0,2025-04-15 00:00:00,1.Compra e venda,106,RESIDÊNCIA,100.0,ABR-2025,100
,2939060.0,275000.0,292585.0,292585.0,292585.0,2025-04-14 00:00:00,1.Compra e venda,43,RESIDÊNCIA,100.0,ABR-2025,0
PARQUE DAS PAINEIRAS,3694010.0,17594.63,549736.0,54.9736,17594.63,2025-04-03 00:00:00,1.Compra e venda,133,RESIDÊNCIA,0.01,ABR-2025,100
JD MATARAZZO,3810000.0,264000.0,378717.0,340.8453,264000.0,2025-04-10 00:00:00,1.Compra e venda,148,RESIDÊNCIA,0.09,ABR-2025,100
,2152000.0,350000.0,273200.0,273200.0,350000.0,2025-04-14 00:00:00,1.Compra e venda,117,RESIDÊNCIA,100.0,ABR-2025,100
JD COLORADO,3387000.0,2900.51,0.0,0.0,0.0,2025-03-28 00:00:00,1.Compra e venda,102,RESIDÊNCIA,100.0,ABR-2025,100
,5591100.0,680000.0,508857.0,508857.0,680000.0,2025-04-08 00:00:00,1.Compra e venda,146,RESIDÊNCIA,100.0,ABR-2025,100
ENGENHEIRO GOULART,3726040.0,320000.0,241554.0,241554.0,320000.0,2025-04-03 00:00:00,1.Compra e venda,95,RESIDÊNCIA,100.0,ABR-2025,0
PLANALTO PAULISTA,4064001.0,1600000.0,1001559.0,1001559.0,1600000.0,2025-04-14 00:00:00,1.Compra e venda,227,RESIDÊNCIA,100.0,ABR-2025,200
BUTANTA,5539040.0,610000.0,463738.0,463738.0,610000.0,2025-04-14 00:00:00,1.Compra e venda,64,RESIDÊNCIA,100.0,ABR-2025,0
,4249090.0,350000.0,371612.0,371612.0,371612.0,2025-04-11 00:00:00,1.Compra e venda,90,RESIDÊNCIA,100.0,ABR-2025,0
,4523010.0,285000.0,4397927.0,439.7927,285000.0,2025-04-16 00:00:00,1.Compra e venda,311,RESIDÊNCIA,0.01,ABR-2025,300
VILA NOVA CALEDONIA,4650020.0,898000.0,673102.0,673102.0,898000.0,2025-04-11 00:00:00,1.Compra e venda,104,RESIDÊNCIA,100.0,ABR-2025,100
,4546002.0,308877.8,1840735.0,184.0735,308877.8,2025-04-11 00:00:00,1.Compra e venda,250,RESIDÊNCIA,0.01,ABR-2025,200
,5065010.0,335000.0,316469.0,316469.0,335000.0,2025-04-11 00:00:00,1.Compra e venda,80,RESIDÊNCIA,100.0,ABR-2025,0
JACANA,2259130.0,380000.0,252483.0,252483.0,380000.0,2025-04-10 00:00:00,1.Compra e venda,116,RESIDÊNCIA,100.0,ABR-2025,100
